Citation,x,y,cluster,keywords,Index,Full Name,ACM Fellow Profile,DBLP profile,Google Scholar Profile,image_url
"for theoretical and practical contributions to machine learning, industrial leadership, and service to the field",3.8412464,7.167432,1,"machine, natural, artificial, intelligence, learning",11,Corinna Cortes,https://awards.acm.org/award-recipients/cortes_5490222,https://dblp.org/pid/77/5783,https://scholar.google.com/citations?user=U_IVY50AAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=U_IVY50AAAAJ
"for contributions to computer graphics, geometry processing, and visual computing",5.037742,9.215954,6,"rendering, image, graphics, computer, vision",12,Craig Gotsman,https://awards.acm.org/award-recipients/gotsman_3554902,https://dblp.org/pid/99/3488,https://scholar.google.com/citations?user=0JRBzUEAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=0JRBzUEAAAAJ
for contributions to algorithms and data structures for geometric data analysis and retrieval,4.1323028,9.19763,2,"combinatorial, computational, theory, complexity, algorithms",13,David M Mount,https://awards.acm.org/award-recipients/mount_2204550,https://dblp.org/pid/m/DavidMMount,https://scholar.google.com/citations?user=v6PsQKIAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=v6PsQKIAAAAJ
"for contributions to computer graphics, geometry processing, and scientific 
computing",4.802746,9.300352,6,"rendering, image, graphics, computer, vision",14,Denis Zorin,https://awards.acm.org/award-recipients/zorin_5054197,https://dblp.org/pid/21/2496,https://scholar.google.com/citations?user=cagVT0AAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=cagVT0AAAAAJ
for contributions in speech processing and deep learning applications,4.837514,6.9845815,1,"machine, natural, artificial, intelligence, learning",15,Dong Yu,https://awards.acm.org/award-recipients/yu_7075850,https://dblp.org/pid/36/4716,https://scholar.google.com/citations?user=tMY31_gAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=tMY31_gAAAAJ
for contributions to machine learning and data mining techniques for social computing and recommender systems,4.0162635,6.507615,1,"machine, natural, artificial, intelligence, learning",16,Ed H. Chi,https://awards.acm.org/award-recipients/chi_4183398,https://dblp.org/pid/99/10276,https://scholar.google.com/citations?user=VuWl-KUAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=VuWl-KUAAAAJ
for contributions to secure computing and privacy-preserving machine learning,2.759372,5.4985256,0,"cryptographic, systems, cryptography, privacy, security",17,Farinaz Koushanfar,https://awards.acm.org/award-recipients/koushanfar_2784014,https://dblp.org/pid/k/FarinazKoushanfar,https://scholar.google.com/citations?user=3XnMVUAAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=3XnMVUAAAAAJ
for contributions to machine learning for search and dialogue,5.166027,6.6573887,1,"machine, natural, artificial, intelligence, learning",18,Hang Li,https://awards.acm.org/award-recipients/li_5842974,https://dblp.org/pid/203/8146,https://scholar.google.com/citations?user=_ZYl_aIAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=_ZYl_aIAAAAJ
"for contributions to programming language design and implementation, program analysis, and software security.",-1.6266123,6.9471464,3,"systems, verification, languages, software, programming",19,Michael W Hicks,https://awards.acm.org/award-recipients/hicks_UI16381,https://dblp.org/pid/h/MichaelWHicks,https://scholar.google.com/citations?user=Gggzp7UAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=Gggzp7UAAAAJ
"for contributions to algorithms, architectures, and applications in machine learning",3.5403204,7.1680527,1,"machine, natural, artificial, intelligence, learning",20,Eric Xing,https://awards.acm.org/award-recipients/xing_9708021,https://dblp.org/pid/36/3855,https://scholar.google.com/citations?user=5pKTRxEAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=5pKTRxEAAAAJ
for contributions to video and image compression and leadership in its standardization,5.9061728,8.582028,6,"rendering, image, graphics, computer, vision",21,Gary J. Sullivan,https://awards.acm.org/award-recipients/sullivan_4760472,https://dblp.org/pid/77/3125,https://scholar.google.com/citations?user=5g5a1SgAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=5g5a1SgAAAAJ
for theoretical and practical contributions to the fields of text searching and compact data structures,4.5992813,6.503371,5,"query, systems, data, management, database",22,Gonzalo Navarro,https://awards.acm.org/award-recipients/navarro_UI58921,https://dblp.org/pid/n/GonzaloNavarro,https://scholar.google.com/citations?user=_fx52FkAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=_fx52FkAAAAJ
for contributions to wireless networking and mobile computing,2.7113318,3.63368,8,"protocols, internet, systems, networks, wireless",23,Haitao Zheng,https://awards.acm.org/award-recipients/zheng_5064513,https://dblp.org/pid/20/134-2,https://scholar.google.com/citations?user=XrIr0nYAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=XrIr0nYAAAAJ
for contributions to tangible user interfaces and to human-computer interaction,4.928453,5.1911397,7,"cooperative, computing, computer, interaction, human",24,Hiroshi Ishii,https://awards.acm.org/award-recipients/ishii_3185337,https://dblp.org/pid/45/2605-1,https://scholar.google.com/citations?user=wS0qP_MAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=wS0qP_MAAAAJ
"for contributions to software engineering research and translation, and establishing  research standards in china",-1.8851268,8.4648285,3,"systems, verification, languages, software, programming",25,Hong Mei,https://awards.acm.org/award-recipients/mei_8736937,https://dblp.org/pid/59/8480,https://scholar.google.com/citations?user=RU3rpYsAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=RU3rpYsAAAAJ
"for contributions to human-computer interaction, information retrieval, and productivity",4.7789783,5.7811146,7,"cooperative, computing, computer, interaction, human",26,Jaime Teevan,https://awards.acm.org/award-recipients/teevan_3995073,https://dblp.org/pid/38/129,https://scholar.google.com/citations?user=F5Ik84MAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=F5Ik84MAAAAJ
for contributions to ubiquitous computing and to usable privacy and security,3.161642,4.506086,0,"cryptographic, systems, cryptography, privacy, security",27,Jason Hong,https://awards.acm.org/award-recipients/hong_4784823,https://dblp.org/pid/98/4249,https://scholar.google.com/citations?user=MoFbcc0AAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=MoFbcc0AAAAJ
"for contributions to the design, analysis, usage, and evaluation of software and information visualization",4.5729833,5.8996983,7,"cooperative, computing, computer, interaction, human",28,John Stasko,https://awards.acm.org/award-recipients/stasko_2936201,https://dblp.org/pid/s/JohnTStasko,https://scholar.google.com/citations?user=2PxFftgAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=2PxFftgAAAAJ
for technical contributions in evolutionary  multi-objective optimization algorithms and multi-criterion decision support,3.2668447,8.546617,1,"machine, natural, artificial, intelligence, learning",29,Kalyanmoy Deb,https://awards.acm.org/award-recipients/deb_9497348,https://dblp.org/pid/21/4802,https://scholar.google.com/citations?user=paTAXiIAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=paTAXiIAAAAJ
for contributions to the innovation and critique of digital technology for socio-economic development and social justice,4.075101,4.9618573,7,"cooperative, computing, computer, interaction, human",30,Kentaro Toyama,https://awards.acm.org/award-recipients/toyama_4938668,https://dblp.org/pid/24/1434,https://scholar.google.com/citations?user=JdxjEQIAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=JdxjEQIAAAAJ
"""for contributions to computer security, and especially to the secure engineering of medical devices.""",-0.4212995,8.634091,0,"cryptographic, systems, cryptography, privacy, security",31,Kevin Fu,https://awards.acm.org/award-recipients/fu_4063954,https://dblp.org/pid/304/1941,https://scholar.google.com/citations?user=8uK6aCEAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=8uK6aCEAAAAJ
for contributions to developing new architectures and programming systems for emerging applications and computing technologies,-0.09169189,7.2612596,3,"systems, verification, languages, software, programming",32,Luis H Ceze,https://awards.acm.org/award-recipients/ceze_7000466,,,
"for contributions to visual communication through computer graphics, human-computer interaction, and information visualization",4.9519186,5.2449045,7,"cooperative, computing, computer, interaction, human",33,Maneesh Agrawala,https://awards.acm.org/award-recipients/agrawala_4314621,https://dblp.org/pid/64/2431,https://scholar.google.com/citations?user=YPzKczYAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=YPzKczYAAAAJ
"for contributions to program analysis, verification, parallelism, logic programming, and the imdea software institute",-1.969235,6.762782,3,"systems, verification, languages, software, programming",34,Manuel V Hermenegildo,https://awards.acm.org/award-recipients/hermenegildo_2534550,https://dblp.org/pid/h/ManuelVHermenegildo,,
"for contributions to geometric computer vision and applications to ar/vr/mr, robotics, and autonomous vehicles",5.531688,8.771926,6,"rendering, image, graphics, computer, vision",35,Marc Pollefeys,https://awards.acm.org/award-recipients/pollefeys_C104881,https://dblp.org/pid/p/MarcPollefeys,https://scholar.google.com/citations?user=YYH0BjEAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=YYH0BjEAAAAJ
"for contributions to human-computer interaction, instrumental interaction and generative theory, and community leadership",4.814643,4.9171925,7,"cooperative, computing, computer, interaction, human",36,Michel Beaudouin-Lafon,https://awards.acm.org/award-recipients/beaudouin-lafon_4460754,https://dblp.org/pid/00/2489,https://scholar.google.com/citations?user=OucrYFkAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=OucrYFkAAAAJ
"for contributions to machine learning research for imbalanced data, graphs, and interdisciplinary innovations",3.4706645,6.749451,1,"machine, natural, artificial, intelligence, learning",37,Nitesh Chawla,https://awards.acm.org/award-recipients/chawla_0295022,https://dblp.org/pid/c/NiteshVChawla,https://scholar.google.com/citations?user=hDLBEhkAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=hDLBEhkAAAAJ
"for contributions to the design of columnar, main-memory, and vectorized database systems",1.2870375,5.8128543,5,"query, systems, data, management, database",38,Peter Boncz,https://awards.acm.org/award-recipients/boncz_UJ15638,https://dblp.org/pid/b/PeterABoncz,https://scholar.google.com/citations?user=DCIZE1kAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=DCIZE1kAAAAJ
for contributions to memory hierarchy design,-0.8158271,4.8172116,9,"memory, systems, distributed, parallel, computing",39,Moinuddin Qureshi,https://awards.acm.org/award-recipients/qureshi_6889096,https://dblp.org/pid/60/6934,https://scholar.google.com/citations?user=EWU0STsAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=EWU0STsAAAAJ
for contributions to the design of high-performance integrated systems and ultra-low power edge circuits and architectures,-1.5580604,4.2908883,9,"memory, systems, distributed, parallel, computing",40,David Atienza Alonso,https://awards.acm.org/award-recipients/atienzaalonso_1847292,https://dblp.org/pid/a/DavidAtienza,,
for contributions to hardware/software co-design of power and thermal efficient embedded computing,-1.417429,4.373418,9,"memory, systems, distributed, parallel, computing",41,Joerg Henkel,https://awards.acm.org/award-recipients/henkel_6636986,https://dblp.org/pid/h/JorgHenkel,https://scholar.google.com/citations?user=AmnIAhEAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=AmnIAhEAAAAJ
for contributions to algorithm design with real-world implications and for mentoring and community-building,1.6113282,8.274328,2,"combinatorial, computational, theory, complexity, algorithms",42,Samir Khuller,https://awards.acm.org/award-recipients/khuller_3390846,https://dblp.org/pid/k/SamirKhuller,https://scholar.google.com/citations?user=6vXTtDQAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=6vXTtDQAAAAJ
for contributions to the foundations and applications of visual geometry and visual representations learning,5.790619,8.877067,6,"rendering, image, graphics, computer, vision",43,Stefano Soatto,https://awards.acm.org/award-recipients/soatto_7972221,https://dblp.org/pid/08/1262,https://scholar.google.com/citations?user=lH1PdF8AAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=lH1PdF8AAAAJ
for contributions to low-power and communication-based design of embedded systems,-1.4540803,4.17563,8,"protocols, internet, systems, networks, wireless",44,Radu Marculescu,https://awards.acm.org/award-recipients/marculescu_4937777,https://dblp.org/pid/88/3494,https://scholar.google.com/citations?user=ZCmYP5cAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=ZCmYP5cAAAAJ
for contributions to the foundations of cryptography,1.942941,9.960741,0,"cryptographic, systems, cryptography, privacy, security",45,Rafael Pass,https://awards.acm.org/award-recipients/pass_0705801,https://dblp.org/pid/311/0270,https://scholar.google.com/citations?user=_7IzKZQAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=_7IzKZQAAAAJ
for contributions to software-defined wireless networking and applications to agriculture and rural broadband,2.5684543,3.641378,8,"protocols, internet, systems, networks, wireless",46,Ranveer Chandra,https://awards.acm.org/award-recipients/chandra_0015439,https://dblp.org/pid/99/2097,https://scholar.google.com/citations?user=Zq4ioqu5yb8C,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=Zq4ioqu5yb8C
for contributions to subspace clustering and motion segmentation in computer vision,6.0866756,8.743921,6,"rendering, image, graphics, computer, vision",47,Rene Vidal,https://awards.acm.org/award-recipients/vidal_6695711,https://dblp.org/pid/v/ReneVidal,https://scholar.google.com/citations?user=uT8fgagAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=uT8fgagAAAAJ
for contributions to the theory of online algorithms and quantum complexity theory,2.2484393,9.383355,2,"combinatorial, computational, theory, complexity, algorithms",48,Sandy Irani,https://awards.acm.org/award-recipients/irani_4469078,https://dblp.org/pid/i/SandyIrani,https://scholar.google.com/citations?user=dBhm_oIAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=dBhm_oIAAAAJ
for contributions to the analysis and testing of evolving systems and robotic systems,-2.4644043,6.1966667,3,"systems, verification, languages, software, programming",49,Sebastian Elbaum,https://awards.acm.org/award-recipients/elbaum_UK19687,https://dblp.org/pid/e/SebastianGElbaum,https://scholar.google.com/citations?user=swPW5FYAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=swPW5FYAAAAJ
"for contributions to mobile and pervasive computing, and their applications in graceful aging and accessibility",3.0003138,3.9744108,8,"protocols, internet, systems, networks, wireless",50,Sumi Helal,https://awards.acm.org/award-recipients/helal_3653854,https://dblp.org/pid/h/AHelal,https://scholar.google.com/citations?user=mTJLF-sAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=mTJLF-sAAAAJ
for contributions to computer system security and performance analysis,-1.9672325,6.524652,0,"cryptographic, systems, cryptography, privacy, security",51,Tim Sherwood,https://awards.acm.org/award-recipients/sherwood_4975710,https://dblp.org/pid/23/3778,https://scholar.google.com/citations?user=nLuHfy4AAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=nLuHfy4AAAAJ
for foundational contributions to high performance computing and the application of hpc techniques to machine learning,3.1092167,6.677826,9,"memory, systems, distributed, parallel, computing",52,Torsten Hoefler,https://awards.acm.org/award-recipients/hoefler_4381890,https://dblp.org/pid/16/3869,https://scholar.google.com/citations?user=DdBvcBEAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=DdBvcBEAAAAJ
for contributions to multimedia networking and network representation,1.9252621,3.494799,8,"protocols, internet, systems, networks, wireless",53,Wenwu Zhu,https://awards.acm.org/award-recipients/zhu_0220763,https://dblp.org/pid/346/0901,https://scholar.google.com/citations?user=7t2jzpgAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=7t2jzpgAAAAJ
"for contributions to question answering, information retrieval, and natural language processing",4.9701867,6.571462,1,"machine, natural, artificial, intelligence, learning",54,Jimmy Lin,https://awards.acm.org/award-recipients/lin_6998795,https://dblp.org/pid/00/7739,https://scholar.google.com/citations?user=3CXNeXkAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=3CXNeXkAAAAJ
for contributions to computer graphics and computer vision,5.8107624,9.026516,6,"rendering, image, graphics, computer, vision",55,Yizhou Yu,https://awards.acm.org/award-recipients/yu_4734414,https://dblp.org/pid/90/6896,https://scholar.google.com/citations?user=e38fTZQAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=e38fTZQAAAAJ
for contributions to wireless networks and mobile computing,2.7405689,3.7327576,8,"protocols, internet, systems, networks, wireless",56,Yuguang Fang,https://awards.acm.org/award-recipients/fang_5177712,https://dblp.org/pid/f/YuguangFang,https://scholar.google.com/citations?user=dJgRKmwAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=dJgRKmwAAAAJ
for contributions to software testing and analysis,-2.555648,7.8405895,3,"systems, verification, languages, software, programming",57,Zhendong Su,https://awards.acm.org/award-recipients/su_4914685,https://dblp.org/pid/197/8311,https://scholar.google.com/citations?user=RivxoIcAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=RivxoIcAAAAJ
for contributions to ubiquitous computing and large-scale behavioral studies,3.2662523,4.1308966,7,"cooperative, computing, computer, interaction, human",58,Anind Dey,https://awards.acm.org/award-recipients/dey_0555709,https://dblp.org/pid/04/4652,https://scholar.google.com/citations?user=ydA8Q5AAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=ydA8Q5AAAAAJ
"for contributions to approximation algorithms, online algorithms, stochastic algorithms and metric embeddings",2.926259,8.564498,1,"machine, natural, artificial, intelligence, learning",59,Anupam Gupta,https://awards.acm.org/award-recipients/gupta_9367426,https://dblp.org/pid/237/9038,https://scholar.google.com/citations?user=g87CIwgAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=g87CIwgAAAAJ
"for contributions to verifying concurrent programs, probabilistic systems, security and database systems",-2.4356074,6.9611316,0,"cryptographic, systems, cryptography, privacy, security",60,Aravinda P Sistla,https://awards.acm.org/award-recipients/sistla_2470656,,https://scholar.google.com/citations?user=P-wJ6Y4AAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=P-wJ6Y4AAAAJ
for contributions to human values in the technical design process,4.7716737,5.0870566,7,"cooperative, computing, computer, interaction, human",61,Batya Friedman,https://awards.acm.org/award-recipients/friedman_3437027,https://dblp.org/pid/20/2143,https://scholar.google.com/citations?user=dkjR4cAAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=dkjR4cAAAAAJ
"for contributions to knowledge representation and reasoning, automatic planning, and their applications in robotics",2.546615,7.518762,1,"machine, natural, artificial, intelligence, learning",62,Bernhard Nebel,https://awards.acm.org/award-recipients/nebel_7811934,https://dblp.org/pid/n/BernhardNebel,https://scholar.google.com/citations?user=4MhUHPcAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=4MhUHPcAAAAJ
"for contributions to large-scale object recognition, human detection, and pose estimation",6.197887,8.4744005,6,"rendering, image, graphics, computer, vision",63,Bernt Schiele,https://awards.acm.org/award-recipients/schiele_5009214,https://dblp.org/pid/s/BerntSchiele,https://scholar.google.com/citations?user=z76PBfYAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=z76PBfYAAAAJ
for contributions to smt solvers and network verification,-2.5543969,6.786566,2,"combinatorial, computational, theory, complexity, algorithms",64,Bjorner Nikolaj,https://awards.acm.org/award-recipients/nikolaj_6098119,https://dblp.org/pid/344/8366,https://scholar.google.com/citations?user=kja6dIzH9GwJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=kja6dIzH9GwJ
for contributions to ultra-low power wireless sensing systems,-1.499244,4.107065,8,"protocols, internet, systems, networks, wireless",65,Deepak Ganesan,https://awards.acm.org/award-recipients/ganesan_6469654,https://dblp.org/pid/g/DeepakGanesan,https://scholar.google.com/citations?user=cbTB5-EAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=cbTB5-EAAAAJ
for contributions to query processing and optimization and to cloud database systems,2.4488182,6.114391,5,"query, systems, data, management, database",66,Feifei Li,https://awards.acm.org/award-recipients/li_2526881,https://dblp.org/pid/79/2528,https://scholar.google.com/citations?user=rDfyQnIAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=rDfyQnIAAAAJ
"for contributions to information retrieval, human-computer interaction, and computational health",4.6137342,5.36714,7,"cooperative, computing, computer, interaction, human",67,Ryen W White,https://awards.acm.org/award-recipients/white_6607089,https://dblp.org/pid/w/RyenWWhite,https://scholar.google.com/citations?user=U69fiZMAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=U69fiZMAAAAJ
for contributions to microelectronics security and trust,-0.651255,4.293773,0,"cryptographic, systems, cryptography, privacy, security",68,Mark Tehranipoor,https://awards.acm.org/award-recipients/tehranipoor_3149580,https://dblp.org/pid/t/MohammadTehranipoor,https://scholar.google.com/citations?user=n9JsBeAAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=n9JsBeAAAAAJ
"for contributions to geometry processing, mesh parameterization, and perception-driven shape analysis and modeling",5.1604953,9.2308035,6,"rendering, image, graphics, computer, vision",69,Alla Sheffer,https://awards.acm.org/award-recipients/sheffer_C106914,https://dblp.org/pid/65/3735,https://scholar.google.com/citations?user=IgkGxLsAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=IgkGxLsAAAAJ
for contributions to cryptography,2.0037029,10.063167,0,"cryptographic, systems, cryptography, privacy, security",70,Brent Waters,https://awards.acm.org/award-recipients/waters_3058089,https://dblp.org/pid/w/BrentWaters,https://scholar.google.com/citations?user=VEKxHOAAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=VEKxHOAAAAAJ
for contributions to proof theory and computational logic,1.6732807,8.438178,2,"combinatorial, computational, theory, complexity, algorithms",71,Dale A Miller,https://awards.acm.org/award-recipients/miller_2617538,https://dblp.org/pid/m/DaleMiller,,
for contributions to mobile systems for behavioral sensing and health interventions,2.991738,4.244465,7,"cooperative, computing, computer, interaction, human",72,Tanzeem Choudhury,https://awards.acm.org/award-recipients/choudhury_3175955,https://dblp.org/pid/86/45,https://scholar.google.com/citations?user=-pyztDMAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=-pyztDMAAAAJ
for contributions to machine learning algorithms and their applications,3.977288,7.1408043,1,"machine, natural, artificial, intelligence, learning",73,Tie-Yan Liu,https://awards.acm.org/award-recipients/liu_2478350,https://dblp.org/pid/l/TieYanLiu,,
for contributions to scalable machine learning and healthcare,3.5771835,6.74551,1,"machine, natural, artificial, intelligence, learning",74,Edward Y Chang,https://awards.acm.org/award-recipients/chang_4684536,https://dblp.org/pid/c/EdwardYChang,https://scholar.google.com/citations?user=pZmOvyYAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=pZmOvyYAAAAJ
for contributions to efficient algorithms for convex and nonconvex optimization,2.9727252,8.749115,2,"combinatorial, computational, theory, complexity, algorithms",75,Elad Hazan,https://awards.acm.org/award-recipients/hazan_7142407,https://dblp.org/pid/72/739,https://scholar.google.com/citations?user=LnhCGNMAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=LnhCGNMAAAAJ
for contributions to theoretical computer science and inference,1.9390404,8.203237,1,"machine, natural, artificial, intelligence, learning",76,Elchanan Mossel,https://awards.acm.org/award-recipients/mossel_0709865,https://dblp.org/pid/m/EMossel,https://scholar.google.com/citations?user=5t2myD8AAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=5t2myD8AAAAJ
"for contributions to the acquisition, representation, and dissemination of web-knowledge with applications to the medical domain",2.3561842,6.5293736,1,"machine, natural, artificial, intelligence, learning",77,Evgeniy Gabrilovich,https://awards.acm.org/award-recipients/gabrilovich_5181813,https://dblp.org/pid/84/1449,https://scholar.google.com/citations?user=DKCx8hcAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=DKCx8hcAAAAJ
for contributions to database search and graph algorithms,3.741989,9.128151,2,"combinatorial, computational, theory, complexity, algorithms",78,Gautam Das,https://awards.acm.org/award-recipients/das_4900977,https://dblp.org/pid/44/4238,https://scholar.google.com/citations?user=oleB9xIAAAAJ,https://scholar.googleusercontent.com/citations?view_op=medium_photo&user=oleB9xIAAAAJ
