Citation,x,y,cluster,keywords,Index,Full Name
for contributions to database search and graph algorithms,2.518948,6.8520207,7,"combinatorial, computational, complexity, theory, algorithms",78,Gautam Das
for leadership in creating advanced research infrastructure including the first internet interconnection point,-1.4885501,0.96303236,4,"service, science, computing, acm, computer",79,Glenn Ricart
for contributions to neuromorphic computing and deep-learning acceleration,-1.4468474,6.7063437,3,"performance, parallel, design, memory, computing",80,Hai Li
"for contributions to the communication, concurrency and resource control in parallel systems",-5.797787,-0.16428071,2,"networks, parallel, computing, systems, distributed",81,Hubertus Franke
for contributions to human-computer interaction and accessible computing,5.410457,7.3868213,5,"interaction, human, graphics, vision, computer",82,Jacob Otto Wobbrock
for contributions to algorithmic analysis of dynamical systems,2.3280606,5.1642294,7,"combinatorial, computational, complexity, theory, algorithms",83,Joel Ouaknine
for contributions to cryptographic protocol design and cryptography education,0.52352166,-2.0657258,6,"secure, systems, cryptography, security, privacy",84,Jonathan Katz
for contributions to research and implementation in computer science education,-1.7504162,1.8833874,4,"service, science, computing, acm, computer",85,Judith Gal-Ezer
for contributions to making public-key cryptography useful in practice,0.3551812,-2.0949504,6,"secure, systems, cryptography, security, privacy",86,Leonard M. Adleman
for contributions in computer architecture performance analysis and modeling,-6.8475904,-3.0915976,3,"performance, parallel, design, memory, computing",87,Lieven Eeckhout
for contributions to mobile and network systems,-10.733399,-0.8398948,0,"internet, systems, mobile, networks, wireless",88,Lin Zhong
for contributions to computer security and e-crime measures,1.0168394,-3.8073657,6,"secure, systems, cryptography, security, privacy",89,Linda Jean Camp
for contributions to complexity theory and combinatorial optimization,2.7249794,3.9586425,7,"combinatorial, computational, complexity, theory, algorithms",90,Luca Trevisan
"for contributions to computational complexity, information theory, and algorithmic mechanism design",2.5226243,3.4632742,7,"combinatorial, computational, complexity, theory, algorithms",91,Mark Braverman
for contributions to data structures for biocomputing and big data,5.905447,3.2239406,8,"systems, management, query, data, database",92,Martin Farach-Colton
for contributions to robotic manipulation and manipulation path planning,7.0464544,4.993979,5,"interaction, human, graphics, vision, computer",93,Matthew T Mason
"for contributions to system-level design, embedded systems and assistive technologies for the visually impaired",3.8540702,8.816951,5,"interaction, human, graphics, vision, computer",94,Meenakshi Balakrishnan
"for contributions to visual tracking, face processing, and low-level vision",10.305243,4.0178027,5,"interaction, human, graphics, vision, computer",95,Ming-Hsuan Yang
for contributions to data mining algorithms and foundations,7.9142027,-0.32360128,1,"mining, artificial, natural, intelligence, learning",96,Mohammed Zaki
for contributions to human action recognition in video and leadership for undergraduate research experience,9.650177,3.8329473,5,"interaction, human, graphics, vision, computer",97,Mubarak Ali Shah
for contributions to artificial intelligence and multiagent systems and their applications in service-oriented computing and sociotechnical systems,4.964064,1.2139679,2,"networks, parallel, computing, systems, distributed",98,Munindar P. Singh
"for contributions to data privacy, access control, and trust management",0.22478478,-3.0282083,6,"secure, systems, cryptography, security, privacy",99,Ninghui Li
for contributions to software architecture,-1.9417075,-2.8995988,9,"systems, verification, languages, programming, software",100,Paola Inverardi
for contributions to peer-to-peer systems and online social networks,-5.7309017,3.02451,2,"networks, parallel, computing, systems, distributed",101,Ben Y. Zhao
"for contributions to computer graphics, geometry processing and visual computing",8.157038,6.323383,5,"interaction, human, graphics, vision, computer",102,Daniel Cohen-Or
"for contributions to high-performance computing systems, graph analytics, and technical leadership in parallel computing",-5.2280164,1.0001166,3,"performance, parallel, design, memory, computing",103,David A Bader
"for contributions to electronic design automation, including design for manufacturing and physical design",-6.9480104,4.008943,9,"systems, verification, languages, programming, software",104,David Z. Pan
for contributions to information and social network mining,8.649939,-2.6588712,1,"mining, artificial, natural, intelligence, learning",105,Jie Tang
for contributions to data security and privacy,0.7218315,-3.4067707,6,"secure, systems, cryptography, security, privacy",106,Pierangela Samarati
for contributions to the foundations of cryptography,0.6979441,-1.9196134,6,"secure, systems, cryptography, security, privacy",107,Rafail Ostrovsky
for contributions to geometric modeling and computer graphics,8.327381,6.718306,5,"interaction, human, graphics, vision, computer",108,Wenping Wang
"for contributions to cryptography, online algorithms, and algorithmic game theory",3.3604364,2.1022081,6,"secure, systems, cryptography, security, privacy",109,Amos Fiat
for contributions to computer architecture and compilers,-3.7338452,-6.3144956,3,"performance, parallel, design, memory, computing",110,David R Kaeli
for contributions to software verification,-1.5017726,-8.748525,9,"systems, verification, languages, programming, software",111,Ranjit Jhala
for contributions to high-performance computing in storage and parallel i/o,-5.768657,0.055054765,3,"performance, parallel, design, memory, computing",112,Robert B Ross
for contributions to online learning and decision problems,7.3168073,1.6643138,1,"mining, artificial, natural, intelligence, learning",113,Robert Kleinberg
for contributions to physiological signal sensing for individual health and wellbeing,-1.3945502,8.067257,5,"interaction, human, graphics, vision, computer",114,Rosalind Wright Picard
"for contributions in process algebra, model checking, and runtime verification",-2.1347713,-9.053552,9,"systems, verification, languages, programming, software",115,Scott Smolka
"for contributions to software verification, software testing, and programming languages",-1.2175395,-8.084674,9,"systems, verification, languages, programming, software",116,Shaz Qadeer
"for contributions to automated planning, resource-bounded reasoning, and multi-agent systems",5.055605,1.229734,1,"mining, artificial, natural, intelligence, learning",117,Shlomo Zilberstein
for contributions to modeling the appearance of physical materials,9.3892765,6.6123514,5,"interaction, human, graphics, vision, computer",118,Steve Marschner
"for contributions to statistical machine learning for information analysis, extraction, and integration",8.650952,-0.13520944,1,"mining, artificial, natural, intelligence, learning",119,Sunita Sarawagi
"for contributions to cyber security, data protection, and privacy",0.9276287,-3.6144626,6,"secure, systems, cryptography, security, privacy",120,Sushil Jajodia
"for contributions to acquisition, representation, analysis, rendering, and fabrication of 3d models",8.97892,6.7194943,5,"interaction, human, graphics, vision, computer",121,Szymon Rusinkiewicz
"for contributions to power, thermal, and reliability management",-7.819117,-2.5071294,3,"performance, parallel, design, memory, computing",122,Tajana Rosing
for contributions to software testing and analytics,-0.26101294,-8.740676,9,"systems, verification, languages, programming, software",123,Tao Xie
for contributions to bioinformatics and medical informatics,6.5897155,-0.38421974,1,"mining, artificial, natural, intelligence, learning",124,Thomas Lengauer
for contributions to mining software repositories and defect prediction,0.43874222,-8.267545,1,"mining, artificial, natural, intelligence, learning",125,Thomas Zimmermann
for contributions to the design of power-constrained and real-time embedded systems,-8.606134,0.13814467,3,"performance, parallel, design, memory, computing",126,Xiaobo Sharon Hu
"for contributions to data integration, sharing, and management for scientific applications",5.2772217,-2.578216,8,"systems, management, query, data, database",127,Zachary Ives
for contributions to communication and security protocols for ad hoc and sensor networks,-10.406058,0.5425319,0,"internet, systems, mobile, networks, wireless",128,Zygmunt J. Haas
for contributions to data privacy and cryptography,0.41890788,-2.7820175,6,"secure, systems, cryptography, security, privacy",129,Adam Smith
for contributions to the field of cryptography,-0.13652036,-1.948484,6,"secure, systems, cryptography, security, privacy",130,Adi Shamir
for contributions to algorithms and languages for numerical and scientific computing,1.6421331,4.7053814,7,"combinatorial, computational, complexity, theory, algorithms",131,Alan Edelman
for contributions to storage and computer systems,-6.5961585,-6.6686325,3,"performance, parallel, design, memory, computing",132,Andrea Arpaci-Dusseau
"for contributions to programming languages: their principles, logic, usability, and trustworthiness",-1.2789571,-6.390127,9,"systems, verification, languages, programming, software",133,Andrew D. Gordon
for contributions to the understanding of the web and web-based social networks,8.571915,-2.9771247,1,"mining, artificial, natural, intelligence, learning",134,Andrew Tomkins
for contributions to the design of energy-efficient and resilient computer architectures,-7.396124,-2.0270104,3,"performance, parallel, design, memory, computing",135,Antonio Gonzalez
for contributions to networks and distributed computer systems,-6.9814644,-0.5637348,2,"networks, parallel, computing, systems, distributed",136,Arvind Krishnamurthy
for human-centered and linguistically inspired approaches to natural language processing,10.161592,-0.9449952,1,"mining, artificial, natural, intelligence, learning",137,Bonnie J Dorr
"for contributions to network forensics, security, and privacy, and for thwarting crimes against children",1.0271794,-3.8444414,6,"secure, systems, cryptography, security, privacy",138,Brian Levine
"for contributions to the theory of programming, and its application to the practice of engineering of software",-1.4700415,-4.194852,9,"systems, verification, languages, programming, software",139,C. Antony R. Hoare
"for design and development of the linux watch and soulpad, which influenced wearable and mobile systems",-9.506005,0.61583245,0,"internet, systems, mobile, networks, wireless",140,Chandra Narayanaswami
for contributions to static and dynamic program debugging and verification methods,-2.4091117,-7.858784,9,"systems, verification, languages, programming, software",141,Cormac Flanagan
for contributions to software and hardware design for power-efficient computer architectures,-6.6703105,-3.129544,3,"performance, parallel, design, memory, computing",142,David Brooks
"for contributions to networking infrastructure, including data center networking, network operating systems, and cloud networking",-8.235799,-1.7869614,0,"internet, systems, mobile, networks, wireless",143,David Maltz
"for contributions to adaptive real-time systems, real-time virtualization, and wireless cyber-physical systems",-8.816002,0.7600454,0,"internet, systems, mobile, networks, wireless",144,Chenyang Lu
for contributions to automated algorithm selection and configuration for optimization and machine learning,6.634318,2.676816,1,"mining, artificial, natural, intelligence, learning",145,Holger H. Hoos
"for contributions to bioinformatics, computational biology, knowledge mining and semantic data integration",6.572639,-0.40481994,1,"mining, artificial, natural, intelligence, learning",146,Cathy H Wu
"for contributions to probabilistic state estimation, rgb-d perception, and learning for robotics and computer vision",8.905069,4.2360816,5,"interaction, human, graphics, vision, computer",147,Dieter Fox
for contributions to architectures and design tools for signal processing and networking accelerators,-7.0419393,3.8414874,3,"performance, parallel, design, memory, computing",148,Keshab K. Parhi
"for contributions to empirical research on agile software development, software security, and software engineering education",-0.99127257,-3.983273,9,"systems, verification, languages, programming, software",149,Laurie Ann Williams
"for contributions to the design, modeling and benchmarking of computer architectures",-6.869843,-2.8950186,3,"performance, parallel, design, memory, computing",150,Lizy Kurian John
"for contributions to human-computer interaction, information retrieval, computer-supported cooperative work, and accessibility",5.0438986,7.8212886,1,"mining, artificial, natural, intelligence, learning",151,Meredith Ringel Morris
"for contributions to game design, game and virtual reality networking, and body tracking",6.3369856,7.0411305,5,"interaction, human, graphics, vision, computer",152,Michael J Zyda
for contributions to network measurement and analysis,-9.2655735,-5.157179,0,"internet, systems, mobile, networks, wireless",153,Nicholas Duffield
for research on the vulnerability of social media networks to disinformation and manipulation,8.587167,-3.0785685,6,"secure, systems, cryptography, security, privacy",154,Filippo Menczer
"for contributions to the science of programming languages, particularly their operational and denotational semantics",-0.88813865,-6.5921974,9,"systems, verification, languages, programming, software",155,Gordon Plotkin
"for contributions to numerical algorithms, data analytics, and leadership in computational science and engineering",1.6560113,4.674971,7,"combinatorial, computational, complexity, theory, algorithms",156,Haesun Park
"for contributions to large-scale multimedia content understanding, indexing and retrieval",9.694132,2.3317301,1,"mining, artificial, natural, intelligence, learning",157,Heng Tao Shen
"for contributions to information retrieval, including topic detection and tracking",9.596231,0.45110756,1,"mining, artificial, natural, intelligence, learning",158,James Allan
for contributions to design research in human-computer interaction,5.747987,7.115938,5,"interaction, human, graphics, vision, computer",159,Jodi Forlizzi
"for contributions in robotics, machine perception, human-computer interaction, and ubiquitous computing",6.48198,5.4529204,5,"interaction, human, graphics, vision, computer",160,John Canny
for contributions to model checking of software and probabilistic systems,-2.3236334,-8.954484,9,"systems, verification, languages, programming, software",161,Joost-Pieter Katoen
for the development of logical methods for design and verification of computational systems,-1.9220066,-8.519196,9,"systems, verification, languages, programming, software",162,Jose Meseguer
for contributions to the development of operating systems theory and for the implementation of the unix operating system,-3.4617279,-1.8041254,9,"systems, verification, languages, programming, software",163,Kenneth Lane Thompson
"for contributions to artificial intelligence, including computational game theory, multi-agent systems, machine learning, and optimization",4.9538116,1.6418914,1,"mining, artificial, natural, intelligence, learning",164,Kevin Leyton-Brown
for contributions to wireless system security and cloud data security,-11.378816,-0.08262483,6,"secure, systems, cryptography, security, privacy",165,Kui Ren
for contributions to computer graphics,8.642233,6.2602496,5,"interaction, human, graphics, vision, computer",166,Kun Zhou
for contributions to network control and optimization with applications in communication networks,-9.474934,-3.3803995,0,"internet, systems, mobile, networks, wireless",167,Leandros Tassiulas
for contributions to automated software testing,-0.42871475,-8.543504,9,"systems, verification, languages, programming, software",168,Lionel Briand
for contributions to socially assistive robotics and human-robot systems,6.1625643,5.587925,5,"interaction, human, graphics, vision, computer",169,Maja Mataric
for contributions to high-performance parallel and distributed computing and computational science,-5.235676,0.75716114,2,"networks, parallel, computing, systems, distributed",170,Manish Parashar
for contributions to the foundations of computational complexity theory and its application to cryptography and program checking,2.1808326,3.2436805,7,"combinatorial, computational, complexity, theory, algorithms",171,Manuel Blum
for the invention of asymmetric public-key cryptography and the promulgation of a practical cryptographic key-exchange method,0.17309943,-1.908894,6,"secure, systems, cryptography, security, privacy",172,Martin Hellman
"for contributions to human-computer interaction, including scenario-based design",5.834049,7.0440364,5,"interaction, human, graphics, vision, computer",173,Mary Beth Rosson
for contributions to geometry processing and discrete differential geometry,7.719772,6.942795,5,"interaction, human, graphics, vision, computer",174,Mathieu Desbrun
"for contributions to face recognition, computer vision, and multimodal interaction",10.418321,3.8875966,5,"interaction, human, graphics, vision, computer",175,Matthew A Turk
"for fundamental, pioneering contributions to the theory of computation, probabilistic algorithms, and cryptography",2.821863,2.1358585,7,"combinatorial, computational, complexity, theory, algorithms",176,Michael O. Rabin
for contributions to the foundations of cryptography and theoretical computer science,0.75637317,-1.7953554,6,"secure, systems, cryptography, security, privacy",177,Moni Naor
"for design of efficient algorithmic techniques for big data, hashing, approximation algorithms, and metric embeddings",5.1478195,3.658414,7,"combinatorial, computational, complexity, theory, algorithms",178,Moses Charikar
for contributions to empirical software engineering and data-driven software development,-0.9050706,-4.0557904,9,"systems, verification, languages, programming, software",179,Nachiappan Nagappan
for contribution to design and modeling of power-efficient computer architectures,-6.9310074,-2.8564808,3,"performance, parallel, design, memory, computing",180,Nam Sung Kim
"for contributions to numerical linear algebra, numerical stability analysis, and communication of mathematics",1.811465,4.916986,7,"combinatorial, computational, complexity, theory, algorithms",181,Nicholas Higham
"for contributions to digital geometry processing, computer animation, computer graphics and visual computing",8.30809,6.3800974,5,"interaction, human, graphics, vision, computer",182,Olga Sorkine-Hornung
for contributions to programming languages through the invention and development of abstract interpretation,-1.1634408,-6.363152,9,"systems, verification, languages, programming, software",183,Patrick Cousot
"for contributions to recommender systems, economics and computation, and online communities",8.665685,-2.5418057,1,"mining, artificial, natural, intelligence, learning",184,Paul Resnick
"for contributions to automated planning, learning, and multiagent systems with applications in robotics and ecommerce",5.192655,1.2806646,1,"mining, artificial, natural, intelligence, learning",185,Peter Stone
for making continuous state systems amenable to logical and computational treatment,1.6742327,5.4227433,7,"combinatorial, computational, complexity, theory, algorithms",186,Prakash Panangaden
for contributions to data summarization and privacy enabling data management and analysis,-0.91263515,-1.0504522,6,"secure, systems, cryptography, security, privacy",187,Graham R. Cormode
for contributions to data semantics and knowledge-enhanced computing,5.4773927,-1.9268383,8,"systems, management, query, data, database",188,Amit Sheth
for energy-efficient design methodologies and circuits that enabled ultralow-power wireless sensors and computing devices,-8.828431,0.6242473,3,"performance, parallel, design, memory, computing",189,Anantha Chandrakasan
for contributions to data cleaning and data integration,5.439706,-2.6226902,8,"systems, management, query, data, database",190,Ihab F. Ilyas
"for contributions to design, implementation, and tools of wireless systems",-10.840439,-0.41693887,0,"internet, systems, mobile, networks, wireless",191,Suman Banerjee
for contributions to algorithmic electronic design automation,-7.077139,3.9041455,7,"combinatorial, computational, complexity, theory, algorithms",192,Yao-Wen Chang
"for contributions to distributed databases, column-store databases, deterministic databases, graph databases, and stream databases",3.771935,-4.3575044,8,"systems, management, query, data, database",193,Daniel J Abadi
"for contributions to the security, privacy, and usability of mobile systems",0.6736132,-3.4657295,6,"secure, systems, cryptography, security, privacy",194,David Kotz
"for contributions to computational biology, data integration and deep learning applications for genome interpretation",6.6929154,-0.11452,1,"mining, artificial, natural, intelligence, learning",195,Olga Troyanskaya
"for contributions to collective intelligence,  including self-organizing systems and swarm robotics",5.350489,1.555766,1,"mining, artificial, natural, intelligence, learning",196,Radhika Nagpal
for  contributions to cryptography and computer security,0.7882695,-2.3841248,6,"secure, systems, cryptography, security, privacy",197,Ran Canetti
"for contributions to web science modeling, analytics, and algorithms",4.811073,3.073507,7,"combinatorial, computational, complexity, theory, algorithms",198,Ravi Kumar
for contributions to storage and computer systems,-6.5959344,-6.6680717,3,"performance, parallel, design, memory, computing",199,Remzi Arpaci-Dusseau
"for contributions in high-performance computing systems, collaborative environments, and tools for large-scale science initiatives",-4.3417273,0.63804436,2,"networks, parallel, computing, systems, distributed",200,Rick Stevens
"for contributions to storage system software, including flash and byte-addressable non-volatile memory",-6.439513,-5.793048,3,"performance, parallel, design, memory, computing",201,Sam H. Noh
for contributions to data management and sensor computing systems,-9.053272,0.81273085,2,"networks, parallel, computing, systems, distributed",202,Samuel Madden
for contributions to distributed systems design,-7.0297837,-0.5800974,2,"networks, parallel, computing, systems, distributed",203,Sanjay Ghemawat
"for contributions to formal verification, inductive synthesis, and cyber-physical systems",-2.4240086,-9.06467,9,"systems, verification, languages, programming, software",204,Sanjit Arunkumar Seshia
"for contributions in compiler code generation for instruction level parallelism, and customized microprocessor architectures",-4.270057,-5.4912014,3,"performance, parallel, design, memory, computing",205,Scott Mahlke
for contributions to multimedia technologies and leadership in the scientific community,-1.0063295,4.1334877,4,"service, science, computing, acm, computer",206,Sethuraman Panchanathan
for contributions to visual content understanding techniques and applications,9.630206,4.059394,5,"interaction, human, graphics, vision, computer",207,Shuicheng Yan
for contributions to parallel methods in computational biology and leadership in data science,6.0568933,0.1426915,3,"performance, parallel, design, memory, computing",208,Srinivas Aluru
